Ticker,name,sector,trailing_pe,forward_pe,price_to_book,return_on_equity,profit_margin,debt_to_equity,free_cashflow,shares_outstanding,total_cash,total_debt,beta,revenue_growth,earnings_growth,currentPrice,targetMeanPrice,momentum_12_1,momentum_6_1,trailing_return_1m,value_score,momentum_score,quality_score,factor_score,factor_rank,predicted_outperformance_probability,screen_score,screen_rank
LLY,Eli Lilly and Company,Healthcare,41.629257,22.662498,32.146687,1.01159,0.31667,165.31,1951000064.0,893357420,7267999744,43865001984,0.504,0.426,0.514,953.31,1209.2069,0.2643202741340176,0.1828494499960489,-0.0598184334636811,-0.44236913252716076,-0.18928323681961898,0.7228831151733086,-0.0042133947193803145,14,0.49812021110603333,0.04898656602907209,13
UNH,UnitedHealth Group Incorporated,Healthcare,23.12396,15.21774,2.9452028,0.12538,0.02694,81.618,13863249920.0,907675839,28120999936,83003998208,0.408,0.123,-0.999,305.93,359.76923,-0.4591704132025459,-0.1993166097088801,0.08252713913962051,0.5219641458478484,-0.9262553551378061,-0.7838939870079124,-0.37667011935385886,22,0.5181569781119334,0.04628635947900106,14
JPM,JP Morgan Chase & Co.,Financial Services,15.385115,13.18759,2.425505,0.16134001,0.3391,,,2682219629,1287710048256,1025994981376,1.043,0.025,-0.036,308.01,337.04166,0.2917735487077895,-0.05751209869865648,0.032617093107273565,0.4776561175665761,-0.1638929954022911,0.09237325081022242,0.1375290680005665,11,0.48907768870741597,0.03176299777821183,15
CVX,Chevron Corporation,Energy,29.092007,18.89943,2.048537,0.07231,0.06661,24.323,13200749568.0,1981217539,6296999936,46742999040,0.587,-0.082,-0.238,192.88,203.54167,0.27137902235664213,0.2630422659600289,0.06107186846175283,0.5172120648140782,0.5739362448140343,-0.527369739000575,0.22369098666966689,7,0.4746784169330449,-0.09334743098683468,16
DE,Deere & Company,Industrials,34.34949,26.254652,6.2582545,0.19566,0.10302,376.022,4200250112.0,270107282,8830000128,48473001984,0.992,-0.111,-0.085,609.36,664.01263,0.3314495134071711,0.2785390230494613,-0.02049163780631358,0.19509139629556083,0.25653403813306147,-0.43398567587936965,0.02787319928620688,12,0.4812591084834269,-0.1456783294111825,17
WMT,Walmart Inc.,Consumer Defensive,46.615387,38.742912,10.179985,0.21847,0.0307,64.443,10554250240.0,7972402501,10727000064,68425998336,0.661,0.056,-0.19,127.26,136.02438,0.42840622623050506,0.21536549309405717,-0.008551034119905099,-0.10146343647580344,0.2899147405920134,-0.6363685822813636,-0.1249526182437356,16,0.4757183670537557,-0.32400620261248736,18
JNJ,Johnson & Johnson,Healthcare,21.85326,19.18616,7.124169,0.35029998,0.28456,60.499,16633249792.0,2408613219,20102000640,49332998144,0.329,0.091,0.486,241.26,241.25,0.5461017364978582,0.2892941926558077,-0.008277829804071768,0.3628713014088875,0.5491051000041681,0.010859441951044371,0.32244957307988276,6,0.45063103729559256,-0.3338817914264907,19
GE,GE Aerospace,Industrials,38.273293,35.77425,17.300241,0.44692,0.18982,114.07,5210999808.0,1044829602,11992000512,21557000192,1.428,0.176,0.374,308.1,355.65,0.7286560839570639,0.08915652149994457,-0.10550452424252998,-0.25661751453424203,-0.14035922644324597,-0.2218417223322479,-0.20549437604179516,19,0.4792277052015707,-0.3351946257717663,20
TSLA,"Tesla, Inc.",Consumer Cyclical,320.79437,122.13433,15.675664,0.049250003,0.040009998,17.763,3732624896.0,3752431984,44059000832,14718999552,1.915,-0.031,-0.606,343.25,416.15024,0.48432360370490346,-0.07700713449496044,-0.12623198574097683,-3.412974263932893,-0.8032380102778861,-0.40194904647734336,-1.5962590099169756,24,0.5532063930746469,-0.3560839610205945,21
AAPL,Apple Inc.,Technology,32.73072,27.759163,43.164387,1.5202099,0.27037,102.63,106312753152.0,14681140000,66907000832,90509000704,1.109,0.157,0.183,258.9,295.32126,0.2726124644972314,-0.0002685242954644229,-0.015380997384088935,-0.6861841973683314,-0.3117740230878842,0.7769056723551514,-0.11621367545313005,15,0.4717573810730096,-0.3688957555200085,22
HD,"Home Depot, Inc. (The)",Consumer Cyclical,23.642757,20.613829,26.13495,1.45541,0.08596,514.392,8622749696.0,996011466,1388999936,65908998144,1.085,-0.038,-0.142,336.2,408.18182,0.02421983283595308,-0.08815128330697153,-0.10342774384437037,-0.07187430341548777,-1.1634844145152485,-0.28330710398650055,-0.5173676824717078,23,0.48090604560178746,-0.5318934440086579,23
COST,Costco Wholesale Corporation,Consumer Defensive,53.52052,45.88134,14.246384,0.29650998,0.029860001,60.257,6690375168.0,443652540,11125999616,10227999744,0.978,0.215,0.455,1030.27,1067.5938,0.03773210738712107,0.09340112166609638,0.015138810496261534,-0.41160682033494556,-0.2106651251511061,-0.5183077426919147,-0.3732875037276925,21,0.44565326995592663,-0.8849979587229297,24
