Date,AAPL,AMZN,CVX,GOOGL,GS,HD,JPM,META,MSFT,NVDA,UNH,XOM
2022-12-07,138.715576171875,88.45999908447266,150.61790466308594,94.16175842285156,332.052490234375,294.6697998046875,120.96268463134766,113.04291534423828,238.12030029296875,16.103008270263672,509.9905700683594,92.87161254882812
2022-12-08,140.3985137939453,90.3499984741211,151.5084228515625,92.94183349609375,330.3548889160156,298.29620361328125,122.23210906982422,114.43199920654297,241.0727996826172,17.15089988708496,514.6968994140625,93.56155395507812
2022-12-09,139.91629028320312,89.08999633789062,146.67173767089844,92.06906127929688,331.3328552246094,294.97357177734375,121.56980895996094,114.99756622314453,239.1434326171875,16.983078002929688,506.50567626953125,92.77303314208984
2022-12-12,142.20953369140625,90.55000305175781,148.19956970214844,92.54512023925781,335.0600280761719,301.87664794921875,123.45552062988281,113.81682586669922,246.05209350585938,17.516517639160156,512.7616577148438,95.05786895751953
2022-12-13,143.174072265625,92.48999786376953,151.4996795654297,94.8460922241211,340.1434020996094,306.39593505859375,123.33594512939453,119.21446990966797,250.34934997558594,18.052949905395508,505.5850830078125,96.09725952148438
2022-12-14,140.94972229003906,91.58000183105469,150.4520263671875,94.29067993164062,332.476806640625,306.8929138183594,122.71964263916016,120.64324188232422,250.64166259765625,17.655370712280273,505.7165832519531,95.38941192626953
2022-12-15,134.3456268310547,88.44999694824219,149.3258056640625,90.11520385742188,322.7436218261719,301.52691650390625,119.67488098144531,115.24562072753906,242.64161682128906,16.934131622314453,495.6841125488281,94.47547149658203
2022-12-16,132.38702392578125,87.86000061035156,147.3003387451172,89.52011108398438,319.53314208984375,297.60589599609375,118.92975616455078,118.50007629394531,238.43209838867188,16.553531646728516,491.94549560546875,93.81242370605469
2022-12-19,130.28079223632812,84.91999816894531,148.31307983398438,87.71503448486328,317.9278564453125,292.07427978515625,119.6380615234375,113.588623046875,234.300537109375,16.236865997314453,491.85150146484375,94.23355102539062
2022-12-20,130.21192932128906,85.19000244140625,150.7488555908203,88.29027557373047,317.8171081542969,289.7824401855469,120.21760559082031,116.17828369140625,235.61599731445312,16.06804656982422,488.6672058105469,95.59548950195312
2022-12-21,133.31222534179688,86.7699966430664,152.52114868164062,88.84568786621094,323.048095703125,293.9427185058594,121.56980895996094,118.82750701904297,238.17874145507812,16.48360252380371,495.5526123046875,96.82301330566406
2022-12-22,130.14303588867188,83.79000091552734,150.23379516601562,87.04061889648438,318.82275390625,290.9605712890625,120.19001007080078,116.20805358886719,232.09832763671875,15.322831153869629,495.1299133300781,94.86970520019531
2022-12-23,129.77883911132812,85.25,154.8783721923828,88.49856567382812,318.7581787109375,293.3628234863281,120.76031494140625,117.12089538574219,232.62454223632812,15.189970970153809,499.0940856933594,97.37855529785156
2022-12-27,127.97774505615234,83.04000091552734,156.8252716064453,86.67362976074219,315.49224853515625,294.1175231933594,121.18345642089844,115.96991729736328,230.8998260498047,14.106115341186523,499.7326965332031,98.73152923583984
2022-12-28,124.05070495605469,81.81999969482422,154.51170349121094,85.31484985351562,314.4774475097656,290.60162353515625,121.84576416015625,114.7197494506836,228.53192138671875,14.021203994750977,496.4074401855469,97.10973358154297
2022-12-29,127.56437683105469,84.18000030517578,155.6815948486328,87.7249526977539,316.8392028808594,294.9091491699219,122.54486083984375,119.32361602783203,234.84622192382812,14.587604522705078,497.750732421875,97.84447479248047
2022-12-30,127.87933349609375,84.0,156.70306396484375,87.50675964355469,316.7930908203125,290.72125244140625,123.35436248779297,119.40299224853516,233.68666076660156,14.598592758178711,498.03253173828125,98.83009338378906
2023-01-03,123.09601593017578,85.81999969482422,151.90130615234375,88.38945770263672,319.4132080078125,290.7673034667969,124.29259490966797,123.76871490478516,233.45277404785156,14.299910545349121,487.1923828125,95.4342041015625
2023-01-04,124.36566162109375,85.13999938964844,150.28614807128906,87.35798645019531,320.7785949707031,294.2832946777344,125.45167541503906,126.37825775146484,223.2408447265625,14.733452796936035,473.9096374511719,95.71195983886719
2023-01-05,123.04681396484375,83.12000274658203,152.99261474609375,85.49339294433594,317.1436462402344,290.3623046875,125.42385864257812,125.95160675048828,216.62448120117188,14.249963760375977,460.25128173828125,97.85344696044922
2023-01-06,127.57421112060547,86.08000183105469,154.14501953125,86.6240463256836,321.129150390625,292.25836181640625,127.82389831542969,129.0076141357422,219.17745971679688,14.843337059020996,460.28887939453125,99.03617095947266
2023-01-09,128.09584045410156,87.36000061035156,152.9402313232422,87.2984848022461,325.6682434082031,292.5160217285156,127.2956771850586,128.46189880371094,221.3114471435547,15.611525535583496,460.34521484375,97.19038391113281
2023-01-10,128.66668701171875,89.87000274658203,153.69100952148438,87.6951904296875,329.69061279296875,295.11163330078125,128.43548583984375,131.95448303222656,222.9972381591797,15.892230987548828,456.53143310546875,98.64191436767578
2023-01-11,131.38314819335938,95.08999633789062,152.95767211914062,90.76978302001953,336.2593688964844,302.8154602050781,129.38995361328125,131.85528564453125,229.74024963378906,15.984130859375,463.4826965332031,99.788818359375
2023-01-12,131.30441284179688,95.2699966430664,154.5989990234375,90.38297271728516,341.29656982421875,303.6161804199219,129.26025390625,135.64553833007812,232.41015625,16.49359703063965,465.6150817871094,101.44644165039062
